run_id,imported_at,source_file,source_name,source_mtime,log_hash,record_type,seq,idx,lap,seg,phase,ph,reason,rsn,t0,t1,t_start,t_end,dist,yaw_start,yaw_end,yprog,end_herr,avg_herr,max_herr,avg_gz,max_gz,avg_gzlp,max_gzlp,avg_line,avg_nav,n,nav_n,nav_lost,nav_fd,nav_stale,upd,lost,line_n,line_first,line_last,line_span,end_gap,avg_turn,lost_streak,end_lost,avg_abs_err,max_err,pmask,pflags,raw_record
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,8,0,0,AC,0,0,point,1,0,1185,0,1185,7409,-5225,-3230,1995,20,582,2119,162,546,137,803,5,-39,79,79,0,372,0,0x07,69,10,79,7409,7330,0,-39,66,0,59,3500,0x80,0x11,RACE_SEG seq=8 idx=0 lap=0 ph=0 rsn=1 t0=0 t1=1185 dist=7409 n=79 | RACE_SEG_LINE seq=9 idx=0 seen=10 first=79 last=7409 span=7330 gap=0 lost=69 maxlost=66 endlost=0 pm=0x80 pf=0x11 | RACE_SEG_YAW seq=10 idx=0 yaw0=-5225 yaw1=-3230 ypr=1995 herr=20 avgh=582 maxh=2119 turn=5/-39/-39 | RACE_SEG_NAV seq=11 idx=0 nav=79 lost=0 fd=372 stale=0 upd=0x07 gz=162/546 gzl=137/803 err=59/3500
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,12,1,0,CB,1,1,point,1,1185,2565,1185,2565,7511,-3201,15440,17359,2339,1798,2352,1292,2105,1272,2044,-51,0,92,92,0,432,0,0x07,1,91,54,7432,7378,79,-51,1,1,510,2500,0x00,0x43,RACE_SEG seq=12 idx=1 lap=0 ph=1 rsn=1 t0=1185 t1=2565 dist=7511 n=92 | RACE_SEG_LINE seq=13 idx=1 seen=91 first=54 last=7432 span=7378 gap=79 lost=1 maxlost=1 endlost=1 pm=0x00 pf=0x43 | RACE_SEG_YAW seq=14 idx=1 yaw0=-3201 yaw1=15440 ypr=17359 herr=2339 avgh=1798 maxh=2352 turn=-51/0/-51 | RACE_SEG_NAV seq=15 idx=1 nav=92 lost=0 fd=432 stale=0 upd=0x07 gz=1292/2105 gzl=1272/2044 err=510/2500
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,16,2,0,BD,2,2,force,2,2565,3705,2565,3705,7410,-14223,-14133,90,157,683,1918,-3,2376,56,2376,0,61,76,76,0,358,0,0x07,76,0,0,0,0,0,61,76,76,0,0,0x00,0x03,RACE_SEG seq=16 idx=2 lap=0 ph=2 rsn=2 t0=2565 t1=3705 dist=7410 n=76 | RACE_SEG_LINE seq=17 idx=2 seen=0 first=0 last=0 span=0 gap=0 lost=76 maxlost=76 endlost=76 pm=0x00 pf=0x03 | RACE_SEG_YAW seq=18 idx=2 yaw0=-14223 yaw1=-14133 ypr=90 herr=157 avgh=683 maxh=1918 turn=0/61/61 | RACE_SEG_NAV seq=19 idx=2 nav=76 lost=0 fd=358 stale=0 upd=0x07 gz=-3/2376 gzl=56/2376 err=0/0
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,20,3,0,DA,3,3,point,1,3705,5115,3705,5115,7785,17640,2553,15087,1810,1619,2273,-1019,2324,-1051,2667,12,0,94,94,0,441,0,0x07,1,93,192,7708,7516,77,12,1,1,845,3000,0x00,0x43,RACE_SEG seq=20 idx=3 lap=0 ph=3 rsn=1 t0=3705 t1=5115 dist=7785 n=94 | RACE_SEG_LINE seq=21 idx=3 seen=93 first=192 last=7708 span=7516 gap=77 lost=1 maxlost=1 endlost=1 pm=0x00 pf=0x43 | RACE_SEG_YAW seq=22 idx=3 yaw0=17640 yaw1=2553 ypr=15087 herr=1810 avgh=1619 maxh=2273 turn=12/0/12 | RACE_SEG_NAV seq=23 idx=3 nav=94 lost=0 fd=441 stale=0 upd=0x07 gz=-1019/2324 gzl=-1051/2667 err=845/3000
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,24,4,1,AC,0,0,point,1,5115,6255,5115,6255,7401,-3357,-3149,208,101,766,2129,14,2530,-47,2453,0,-56,76,76,0,357,0,0x07,75,1,7401,7401,0,0,-56,75,0,0,0,0x18,0x11,RACE_SEG seq=24 idx=4 lap=1 ph=0 rsn=1 t0=5115 t1=6255 dist=7401 n=76 | RACE_SEG_LINE seq=25 idx=4 seen=1 first=7401 last=7401 span=0 gap=0 lost=75 maxlost=75 endlost=0 pm=0x18 pf=0x11 | RACE_SEG_YAW seq=26 idx=4 yaw0=-3357 yaw1=-3149 ypr=208 herr=101 avgh=766 maxh=2129 turn=0/-56/-56 | RACE_SEG_NAV seq=27 idx=4 nav=76 lost=0 fd=357 stale=0 upd=0x07 gz=14/2530 gzl=-47/2453 err=0/0
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,28,5,1,CB,1,1,point,1,6255,7575,6255,7575,7156,-660,15512,16172,640,519,1208,1181,1643,1185,1577,-16,0,88,88,0,411,0,0x07,1,87,31,7076,7045,80,-16,1,1,403,2000,0x00,0x43,RACE_SEG seq=28 idx=5 lap=1 ph=1 rsn=1 t0=6255 t1=7575 dist=7156 n=88 | RACE_SEG_LINE seq=29 idx=5 seen=87 first=31 last=7076 span=7045 gap=80 lost=1 maxlost=1 endlost=1 pm=0x00 pf=0x43 | RACE_SEG_YAW seq=30 idx=5 yaw0=-660 yaw1=15512 ypr=16172 herr=640 avgh=519 maxh=1208 turn=-16/0/-16 | RACE_SEG_NAV seq=31 idx=5 nav=88 lost=0 fd=411 stale=0 upd=0x07 gz=1181/1643 gzl=1185/1577 err=403/2000
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,32,6,1,BD,2,2,force,2,7575,8715,7575,8715,7449,-14096,-14224,128,66,674,1988,-15,2433,48,2386,0,57,76,76,0,357,0,0x07,76,0,0,0,0,0,57,76,76,0,0,0x00,0x03,RACE_SEG seq=32 idx=6 lap=1 ph=2 rsn=2 t0=7575 t1=8715 dist=7449 n=76 | RACE_SEG_LINE seq=33 idx=6 seen=0 first=0 last=0 span=0 gap=0 lost=76 maxlost=76 endlost=76 pm=0x00 pf=0x03 | RACE_SEG_YAW seq=34 idx=6 yaw0=-14096 yaw1=-14224 ypr=128 herr=66 avgh=674 maxh=1988 turn=0/57/57 | RACE_SEG_NAV seq=35 idx=6 nav=76 lost=0 fd=357 stale=0 upd=0x07 gz=-15/2433 gzl=48/2386 err=0/0
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,36,7,1,DA,3,3,point,1,8715,10110,8715,10110,7690,17281,2559,14722,1969,1708,2416,-1016,2758,-1050,2747,7,0,93,93,0,435,0,0x07,1,92,190,7613,7423,77,7,1,1,881,3000,0x00,0x43,RACE_SEG seq=36 idx=7 lap=1 ph=3 rsn=1 t0=8715 t1=10110 dist=7690 n=93 | RACE_SEG_LINE seq=37 idx=7 seen=92 first=190 last=7613 span=7423 gap=77 lost=1 maxlost=1 endlost=1 pm=0x00 pf=0x43 | RACE_SEG_YAW seq=38 idx=7 yaw0=17281 yaw1=2559 ypr=14722 herr=1969 avgh=1708 maxh=2416 turn=7/0/7 | RACE_SEG_NAV seq=39 idx=7 nav=93 lost=0 fd=435 stale=0 upd=0x07 gz=-1016/2758 gzl=-1050/2747 err=881/3000
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,40,8,2,AC,0,0,point,1,10110,11250,10110,11250,7406,-3409,-3089,320,161,868,2344,42,2442,-19,2458,0,-53,76,76,0,358,0,0x07,75,1,7406,7406,0,0,-53,75,0,6,500,0x10,0x11,RACE_SEG seq=40 idx=8 lap=2 ph=0 rsn=1 t0=10110 t1=11250 dist=7406 n=76 | RACE_SEG_LINE seq=41 idx=8 seen=1 first=7406 last=7406 span=0 gap=0 lost=75 maxlost=75 endlost=0 pm=0x10 pf=0x11 | RACE_SEG_YAW seq=42 idx=8 yaw0=-3409 yaw1=-3089 ypr=320 herr=161 avgh=868 maxh=2344 turn=0/-53/-53 | RACE_SEG_NAV seq=43 idx=8 nav=76 lost=0 fd=358 stale=0 upd=0x07 gz=42/2442 gzl=-19/2458 err=6/500
race_672cd7a36e2c,2026-06-18T16:36:14,result.txt,result.txt,2026-06-18T16:33:50,672cd7a36e2c,RACE_SUM,44,9,2,CB,1,1,point,1,11250,12585,11250,12585,7219,-829,15492,16321,653,549,1037,1172,1571,1180,1527,-20,0,89,89,0,417,0,0x07,1,88,31,7139,7108,80,-20,1,1,398,2000,0x00,0x43,RACE_SEG seq=44 idx=9 lap=2 ph=1 rsn=1 t0=11250 t1=12585 dist=7219 n=89 | RACE_SEG_LINE seq=45 idx=9 seen=88 first=31 last=7139 span=7108 gap=80 lost=1 maxlost=1 endlost=1 pm=0x00 pf=0x43 | RACE_SEG_YAW seq=46 idx=9 yaw0=-829 yaw1=15492 ypr=16321 herr=653 avgh=549 maxh=1037 turn=-20/0/-20 | RACE_SEG_NAV seq=47 idx=9 nav=89 lost=0 fd=417 stale=0 upd=0x07 gz=1172/1571 gzl=1180/1527 err=398/2000
