run_id,imported_at,source_file,source_name,source_mtime,log_hash,record_type,seq,idx,name,step,count,kept,stride,lap,seg,phase,ph,event,ev,reason,rsn,t,t0,t1,t_start,t_end,dist,phase_dist,pd,yaw,yaw0,yaw1,yaw_start,yaw_end,yaw_raw,rawy,pyaw,py,yprog,ypr,ydelta,yd,exp,herr,turn,avg_herr,max_herr,avg_gz,max_gz,avg_gzlp,max_gzlp,avg_line,avg_nav,seen,first,last,span,maxlost,endlost,gz,gz100,gzl,gzlp,n,nav_fd,upd,lost,line_n,line_first,line_last,line_span,end_gap,avg_turn,lost_streak,end_lost,avg_abs_err,max_err,pmask,pm,pflags,pf,raw,mask,cnt,flags,fl,err,B,A,pwm,win,win_ov,ev,ev_ov,sum,sum_ov,max_laps,log_stride,laps,mode,line_base,arc_base,gyro_st,ir_assist,h_div,h_max,h_gd,ac_tgt,bd_tgt,gyro_to,win_pre,win_start,arc_yaw,arc_div,arc_max,arc_gd,arc_yaw_arm,turn_slow,yaw_stop,yaw_tol,yaw_gz,b_exit,a_exit,ff_gain,line_delay,section_delay,win_stride,avgh,evt,fd,gap,maxh,nav,raw_record,slow_yaw,stale
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG_YAW,10,0,,,,,,,,,,,,,,,,,,,,,,,-4686,-3189,-4686,-3189,,,,,1497,1497,,,,111,53/-20/-20,367,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,,,,1687,,RACE_SEG_YAW seq=10 idx=0 yaw0=-4686 yaw1=-3189 ypr=1497 herr=111 avgh=367 maxh=1687 turn=53/-20/-20,,
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG_NAV,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145/996,,91/1470,91/1470,,306,0x07,0,,,,,,,,,,,,,,,,,,,,23/1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,,,97,RACE_SEG_NAV seq=11 idx=0 nav=97 lost=0 fd=306 stale=0 upd=0x07 gz=145/996 gzl=91/1470 err=23/1166,,0
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG,12,1,,,,,,0,CB,1,1,,,point,1,,970,2000,970,2000,6739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RACE_SEG seq=12 idx=1 lap=0 ph=1 rsn=1 t0=970 t1=2000 dist=6739 n=103,,
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG_LINE,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,109,6679,6570,1,1,,,,,,,,1,102,109,6679,6570,60,,1,1,,,0x00,0x00,0x43,0x43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,RACE_SEG_LINE seq=13 idx=1 seen=102 first=109 last=6679 span=6570 gap=60 lost=1 maxlost=1 endlost=1 pm=0x00 pf=0x43,,
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG_YAW,14,1,,,,,,,,,,,,,,,,,,,,,,,151,15479,151,15479,,,,,15328,15328,,,,701,-58/0/-58,554,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,,,,1008,,RACE_SEG_YAW seq=14 idx=1 yaw0=151 yaw1=15479 ypr=15328 herr=701 avgh=554 maxh=1008 turn=-58/0/-58,,
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG_NAV,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397/2722,,1423/2579,1423/2579,,327,0x07,0,,,,,,,,,,,,,,,,,,,,766/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,,,103,RACE_SEG_NAV seq=15 idx=1 nav=103 lost=0 fd=327 stale=0 upd=0x07 gz=1397/2722 gzl=1423/2579 err=766/2000,,0
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG,16,2,,,,,,0,BD,2,2,,,force,2,,2000,2850,2000,2850,7403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RACE_SEG seq=16 idx=2 lap=0 ph=2 rsn=2 t0=2000 t1=2850 dist=7403 n=85,,
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG_LINE,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,85,85,,,,,,,,85,0,0,0,0,0,,85,85,,,0x00,0x00,0x03,0x03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,RACE_SEG_LINE seq=17 idx=2 seen=0 first=0 last=0 span=0 gap=0 lost=85 maxlost=85 endlost=85 pm=0x00 pf=0x03,,
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG_YAW,18,2,,,,,,,,,,,,,,,,,,,,,,,-15548,-14164,-15548,-14164,,,,,1384,1384,,,,136,0/59/59,561,1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,,,,1459,,RACE_SEG_YAW seq=18 idx=2 yaw0=-15548 yaw1=-14164 ypr=1384 herr=136 avgh=561 maxh=1459 turn=0/59/59,,
race_0f410a0209b6,2026-06-19T19:29:39,result.txt,result.txt,2026-06-19T19:29:31,0f410a0209b6,RACE_SEG_NAV,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145/2391,,215/2274,215/2274,,270,0x07,0,,,,,,,,,,,,,,,,,,,,0/0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,85,RACE_SEG_NAV seq=19 idx=2 nav=85 lost=0 fd=270 stale=0 upd=0x07 gz=145/2391 gzl=215/2274 err=0/0,,0
