run_id,imported_at,source_file,source_name,source_mtime,log_hash,validation_ok,records,seq_count,seq_first,seq_last,evt_count,sum_count,win_count,win_ov,ev_ov,sum_ov,complete_lap,complete_phase,complete_t,complete_reason,line_base,arc_base,ff_gain,gyro_st,arc_yaw
task11_b44ec44570f2,2026-06-06T21:57:49,C:\Users\orang\Desktop\run02.txt,run02.txt,2026-06-06T21:54:21,b44ec44570f2,1,744,744,0,743,98,20,617,0,0,0,5,3,29300,point,560,540,2,0,0
task11_bf7ca7f99555,2026-06-06T22:05:22,C:\Users\orang\Desktop\run03.txt,run03.txt,2026-06-06T22:05:10,bf7ca7f99555,1,739,739,0,738,98,20,612,0,0,0,5,3,29400,point,560,540,2,0,0
