run_id,imported_at,source_file,log_hash,lap,seg,phase,phase_dist,turn_t_start,turn_t_stop,yaw_before,yaw_after,yaw_delta,turn_dist,stop_reason,stop_mask,stop_err,motor_b_total,motor_a_total,source_mtime,source_name
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,0,DA,3,7023,6100,6280,1534,-1359,-2893,473,point,0x30,1000,832,114,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,1,AC,0,8078,7620,7820,-3358,-199,3159,519,point,0x06,-2000,130,908,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,1,CB,1,7028,9000,9180,16563,-16625,2812,469,point,0x0C,-1000,120,819,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,1,BD,2,8053,10520,10720,-14502,-17657,-3155,523,point,0x60,2000,908,139,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,1,DA,3,6898,11880,12080,1939,-1678,-3617,515,point,0x18,0,912,118,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,2,AC,0,8029,13400,13600,-3510,-404,3106,512,point,0x06,-2000,136,889,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,2,CB,1,7122,14800,15000,16640,-16007,3353,511,point,0x18,0,114,909,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,2,BD,2,8108,16340,16540,-14475,-17802,-3327,522,point,0x60,2000,907,138,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,2,DA,3,6879,17700,17900,1913,-1577,-3490,517,point,0x10,500,918,117,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,3,AC,0,8094,19240,19440,-3133,-127,3006,513,point,0x06,-2000,118,909,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,3,CB,1,6992,20620,20820,16399,-16435,3166,507,point,0x0C,-1000,111,903,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,3,BD,2,8003,22140,22360,-14065,-17600,-3535,564,point,0x30,1000,985,144,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,3,DA,3,7088,23540,23720,1922,-1223,-3145,478,point,0x20,1500,825,131,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,4,AC,0,8058,25060,25280,-3148,465,3613,554,point,0x0C,-1000,125,983,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,4,CB,1,6994,26440,26620,16821,-16314,2865,472,point,0x04,-1500,120,824,2026-06-06T22:58:13,run03.txt
task11_fb0c963cde9c,2026-06-06T23:04:30,C:\Users\orang\Desktop\run03.txt,fb0c963cde9c,4,BD,2,8027,27960,28180,-14021,-17824,-3803,564,point,0x30,1000,983,146,2026-06-06T22:58:13,run03.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,0,AC,0,8840,1800,2000,-3673,-952,2721,507,point,0x06,-2000,127,888,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,0,CB,1,7102,3200,3400,16185,-16300,3515,506,point,0x0C,-1000,110,902,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,0,BD,2,8008,4720,4940,-14304,17966,-3730,564,point,0x30,1000,980,148,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,0,DA,3,7070,6120,6320,1498,-1927,-3425,512,point,0x10,500,907,118,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,1,AC,0,8103,7660,7860,-3374,-76,3298,510,point,0x06,-2000,123,898,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,1,CB,1,6968,9040,9220,16456,-16499,3045,460,point,0x0C,-1000,111,810,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,1,BD,2,8110,10580,10780,-14837,-17834,-2997,517,point,0x60,2000,906,128,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,1,DA,3,6982,11960,12140,1487,-1310,-2797,469,point,0x30,1000,806,132,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,2,AC,0,8007,13480,13680,-3676,-663,3013,510,point,0x06,-2000,130,890,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,2,CB,1,7071,14880,15060,15972,-16814,3214,466,point,0x0C,-1000,118,815,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,2,BD,2,8004,16400,16620,-14513,17852,-3635,563,point,0x30,1000,980,146,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,2,DA,3,7073,17800,18000,1315,-2044,-3359,513,point,0x30,1000,898,128,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,3,AC,0,8102,19340,19540,-3594,-319,3275,508,point,0x06,-2000,120,897,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,3,CB,1,6984,20720,20920,15915,-16513,3572,506,point,0x18,0,115,897,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,3,BD,2,8089,22260,22460,-15017,-17992,-2975,518,point,0x60,2000,903,133,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,3,DA,3,6974,23640,23840,1308,-1854,-3162,512,point,0x30,1000,907,117,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,4,AC,0,8015,25160,25360,-3748,-318,3430,514,point,0x06,-2000,134,894,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,4,CB,1,7062,26560,26720,16315,-16947,2738,423,point,0x0C,-1000,120,727,2026-06-06T23:04:00,run01.txt
task11_25f524e5e21b,2026-06-06T23:04:34,C:\Users\orang\Desktop\run01.txt,25f524e5e21b,4,BD,2,8110,28100,28300,-15173,17692,-3135,517,point,0x60,2000,906,128,2026-06-06T23:04:00,run01.txt
